date,monthly_return,fund,source
2022-06-01,-0.08106917706644223,global,ACWI
2022-07-01,0.07068783858376881,global,ACWI
2022-08-01,-0.04364277265426275,global,ACWI
2022-09-01,-0.09394657431100673,global,ACWI
2022-10-01,0.06347175845071207,global,ACWI
2022-11-01,0.08336357894928637,global,ACWI
2022-12-01,-0.046100514383030644,global,ACWI
2023-01-01,0.07504726641574821,global,ACWI
2023-02-01,-0.033205457362120994,global,ACWI
2023-03-01,0.03332580591144607,global,ACWI
2023-04-01,0.015686574604633963,global,ACWI
2023-05-01,-0.010476319005460533,global,ACWI
2023-06-01,0.05784311667745823,global,ACWI
2023-07-01,0.035959841189827646,global,ACWI
2023-08-01,-0.029077310973798398,global,ACWI
2023-09-01,-0.04279786412631026,global,ACWI
2023-10-01,-0.025441327075467535,global,ACWI
2023-11-01,0.08886917608532574,global,ACWI
2023-12-01,0.04812823882877049,global,ACWI
2024-01-01,0.002751448055070105,global,ACWI
2024-02-01,0.04507590039890941,global,ACWI
2024-03-01,0.03263009456150057,global,ACWI
2024-04-01,-0.035503481680975724,global,ACWI
2024-05-01,0.04575411621035985,global,ACWI
2024-06-01,0.02037816354111044,global,ACWI
2024-07-01,0.015391398519805088,global,ACWI
2024-08-01,0.024971519274140208,global,ACWI
2024-09-01,0.021969566698429643,global,ACWI
2024-10-01,-0.02091173617338926,global,ACWI
2024-11-01,0.04032455037898397,global,ACWI
2024-12-01,-0.026582140866225012,global,ACWI
2025-01-01,0.031404267509449024,global,ACWI
2025-02-01,-0.0029705120235787863,global,ACWI
2025-03-01,-0.03674585294097443,global,ACWI
2025-04-01,0.005155029722384796,global,ACWI
2025-05-01,0.05692803059759166,global,ACWI
2025-06-01,0.048064799784780066,global,ACWI
2025-07-01,0.010575403576084996,global,ACWI
2025-08-01,0.026777474037295246,global,ACWI
2025-09-01,0.03597121638249767,global,ACWI
2025-10-01,0.022931162418637463,global,ACWI
2025-11-01,0.00042430757749323256,global,ACWI
2025-12-01,0.00892855005587223,global,ACWI
2026-01-01,0.028341185604305208,global,ACWI
2026-02-01,0.012920995758161524,global,ACWI
2026-03-01,-0.06113454652677752,global,ACWI
2026-04-01,0.09517958107746871,global,ACWI
2026-05-01,0.04619242648891264,global,ACWI
2026-06-01,-0.013056592362116315,global,ACWI
